1,club1,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,African Students Association,club1@clubu.ca,ASA,"The African Students’ Association (ASA) powerfully engages the interests, voice and issues of African students at the University of Toronto. As a collective, the ASA is dedicated to the promotion of African culture as well as promoting and increasing the importance of African historical, political, social, and economic issues. The ASA fundamentally strives to strengthen and promote an African presence at the University of Toronto and beyond.",1
2,club2,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Filipino Canadian Youth Alliance,club2@clubu.ca,FCYA,"FCYA/UKPC is a dynamic group of Filipino Canadian youth and students. Through the guidance of the Philippine Women Centre, we were able to share our experiences and identify common issues such as racism, sexism, exploitation at work, homophobia and our right to education.",2
3,club3,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Fine Arts Association,club3@clubu.ca,UTFAA,"The University of Toronto Fine Arts Association's purpose is to connect with anyone interested in any form of 2-D or 3-D Fine Arts, such as painting, drawing, sculpting, sewing and more. Our club hosts galleries and workshops throughout the year. Any and all Fine Arts enthusiasts are welcome!",3
4,club4,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Celtic Studies Course Union,club4@clubu.ca,,"The Celtic Studies Course Union aims to unite students enrolled in the Celtic Studies program. Members of the union participate in free lectures, study sessions and are able to receive tutoring, organised by the union’s executive members. Although mainly academic, the union also organises various social events including music and movie nights, dances and professor/student socials. The union seeks to create a social environment for students with common interests as well as provide them with the tools to excel within the classroom, and to explore their interest beyond it.",4
5,club5,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,"Fly with Origami, Learn to Dream",club5@clubu.ca,UTFOLD,"Fly with Origami, Learn to Dream (UTFOLD) is an organization committed to introducing and promoting the entertainment and educational values of origami, a form of traditional Japanese paper art, on and off the UTSG campus. The club hopes to create a medium through which U of T students and UTFOLD members can enrich the lives of children, seniors and their families by providing ample learning opportunities on the making of origami, with emphasis on hands-on exploration and creative thinking.",5
6,club6,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Fusion Radio,club6@clubu.ca,,"Fusion Radio's mission is to promote campus and community engagement, as well as help facilitate personal and professional growth to improve the lives of our stakeholders. We aim to achieve this through creating opportunities for artistic and cultural expression, and by providing a venue for entertainment and discussion on campus and larger community topics.",6
7,club7,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Game Design and Development Club,club7@clubu.ca,UTGDDC,"The Game Design and Development club aims to bring together anyone interested in the design and development of interactive electronic entertainment. We provide a forum where programmers, artists, musicians and writers can join together to discuss and create video games.",7
8,club8,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Graduate Union of the Students of Arts,club8@clubu.ca,,Graduate Union of the Students of Art (GUStA),8
9,club9,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Badminton Club,club9@clubu.ca,UTBC,"The University of Toronto Badminton Club (UTBC) is a student organization at the University of Toronto, St. George campus. As a club, we aim to create a healthy, social and interactive environment for all UofT students and faculty to share their love for badminton. We welcome all players of all skill levels, from beginner to competitive. We offer weekly court hours to play badminton, improve their skills and meet other players. Each court hours session is on a drop-in basis. There will be tournaments and intramurals with two categories, recreational and advance. For those who wish to compete competitively, we provide a platform for those who wish to compete for the Varsity Blues Badminton Team with helpful information and contacts.",9
10,club10,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Han Chinese Culture Association,club10@clubu.ca,HCCA,"The Han Chinese Culture Association is intended for students who share interests in the Han Chinese history and culture. In China, there are 56 different ethnicities, but only a few realize that there are 56 ethnicities reside within the geographical borders. Han Chinese, is the largest ethnicity in China, they make up for over 90% in the PRC, and 98% among overseas Chinese. They were also the major players in Chinese culture and history. Yet, under western imperialism, China has lost the virtues that are truly valuable, such as courtesy, respect, tolerance, and more importantly, its own tradition. HCCA will educate its members about the Han Chinese traditions, such as the arts of writing and drawing and Chinese paper-cutting. Moreover, HCCA will organize events to celebrate traditional Chinese festivals such as the Lunar New Year, the Mid-Autumn Festival, and the Dragon Boat Festival. Our goal and objective is to present the essence of the Chinese culture and traditions to all UofT students and allow them to explore one?s own heritage.",10
