1,student1,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Jack,Sparrow,student1@clubu.ca,999900001,757382400,1,ECE,51
2,student2,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Charles,Xavier,student2@clubu.ca,999900002,757468800,1,ECE,52
3,student3,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Peter,Parker,student3@clubu.ca,999900003,757555200,1,Engineering Science,53
4,student4,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Tony,Stark,student4@clubu.ca,999900004,757641600,1,Engineering Science,54
5,student5,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Steve,Rogers,student5@clubu.ca,999900005,757728000,2,Rotman Commerce,55
6,student6,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Walter,White,student6@clubu.ca,999900006,757814400,2,Rotman Commerce,56
7,student7,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Jesse,Pinkman,student7@clubu.ca,999900007,757900800,2,Life Science,57
8,student8,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Harry,Potter,student8@clubu.ca,999900008,757987200,2,Life Science,58
9,student9,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Ron,Weasley,student9@clubu.ca,999900009,758073600,3,Industrial Engineering,59
10,student10,$2a$10$s73peTC3prSgjRAagMhHJO5kt/l.4WH2Dk5/cWTqwRH9wbYTvLiXC,Hermione,Granger,student10@clubu.ca,999900010,758160000,3,Industrial Engineering,60
